tweetid,userid,class,type,form,teasing,author_role,emotion,tweettext
108548957919133696,235277897,y,report,other,n,reporter,anger,"The Bully at School Goes High Tech – Part 1: 
The Section of State and Local Government Law of the Am... http://t.co/DGWXoKd #slaw #law"
101774947961151488,31434104,y,cyberbullying,cyberbullying,n,bully,none,Follow-Up to ' Signs Your Child Might Be Getting Bullied' #moms #dads http://t.co/vsfXkHD #parenting #kids
103471384973418497,219025244,n,,,,,,"WED at 8pm on #LETITBEKNOWNLIVERADIO our Discussion ""Violence among the YOUTH PT 2..... Bullying, Gang Violenc… (cont) http://deck.ly/~ZN88q"
103557373079199744,207378439,y,self-disclosure,other,n,victim,none,Damm I think I'm slick bully this dude always offering shit to avoid me for roasting his ass LoL
106840582453870592,244569315,n,,,,,,"bullying da twitcan com a @jvdias_ e @nandaduartesa, acho palho sás coisas"
101324602789208064,210803457,y,report,other,n,reporter,none,ignorar a pessoa no msn é bullying
105799405784936448,264606687,n,,,,,,Heiii odah @faannn bsk ak g msk yah.. Jagain suheri yah.. Jgn smp si ijah @opiesiraru kalap buat bully suheri
101928990138314752,221791384,n,,,,,,@BillyBlancO_ @DjLBully nigga used to be a real herbalist bully idk wham ah deal with
101929808606412800,338864860,n,,,,,,Georgetown got there asses kicked but china.. Bull got cleaned up with a chair
103502694634889216,24170927,n,,,,,,@samGarvaux  Mostly I agree with @Shoq.  Having strong opinions does not make one a bully. Just passionate.
103938779231961091,86815267,n,,,,,,@Lariissa_pavao VOCÊ FEZ BULLYING! KKKKKKKKKKKKKKKK
101884602586636288,53301091,n,,,,,,I entered an AMZN 175/165 bull put spread for September. I am looking for 195 to go further long calls.
102829653227606018,90055203,n,,,,,,"@_MacaAlejandra @xsiempreJcyFer @camiiHidalgo_ Oigan , me Siento discriminada :'c me hacen Bulling aaaag* Las Denunciare xd"
105464272934551552,240501669,n,,,,,,"Bullying: O gesto mais idiota, estúpido e irracional que um ser humano pode praticar."
101495938232750080,331380807,y,self-disclosure,other,y,bully,none,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/qlZdxUJ
101821613984591873,322705559,n,,,,,,"Suposta vítima de bullying, estudante pula do primeiro andar de colégio particular em Natal http://t.co/q9bRVJ3 via @UOLNoticias"
104353153713053696,155455921,y,self-disclosure,other,n,victim,anger,"@Looweihao @haoyangg @sleepybed Hello, since when i got bully people? Never physically you know! :( Criminal is not supposed to be me.."
106150056868061184,61120235,n,,,,,,@chelseabieber95 duuuuude. cyber bully much? I just read some of the tweets. how did it even start
106449969682198528,16813960,n,,,,,,"Tusuk tikam jejak! Bwahaha ""@Christ_Yosh10: @selviore duh jngan d tanya pan.. Mengundang kreatifitas dy untuk mem'bully itu mah.. &gt;&lt;"""
108121046191841281,44528374,n,,,,,,http://t.co/XHtRPSc @planetjedward anti-bullying campaign
108219316192817152,169260909,n,,,,,,@bbuk @brianofficial bobby needs threw out that is disgusting #sweatgate #bully
101405526843338754,15900909,n,,,,,,Stop Bullying Ppl Old America
103925126613045250,14721679,y,self-disclosure,other,n,victim,none,@luttylutz bahh lo kaga demen dia juga? Gue kira pada demen si jiejie SQ itu -_- ayo trus kita bully (?) Bahahahaha
105829798315696128,92643652,n,,,,,,Three bully vans just went past Candace's Lewisham riots are starting again lordddddd
108154819906240512,17199808,n,,,,,,"In high school, it's bullying. But in a professional setting, it's harassment."
108340745324335104,27383561,y,self-disclosure,other,n,bully,none,News from PrayerThatHeals.org - A spiritual defense against bullying http://t.co/wkmbwMA #constantcontact
101470751672107010,267800315,n,,,,,,"orkut sofrendo um puta bullying do facebook, processa ele."
102903555840675840,90518694,y,report,cyberbullying,n,reporter,none,"pois agora é crime! Sacanear Palmeirense é Bullying,"
103942171870248960,273744352,n,,,,,,I liked a @YouTube video http://t.co/D8iiUDS Bully Cat Stuffs Cat In Box
104940761937743874,40004611,n,,,,,,"Hj teve dinamica na sala, e como tds se odeiam teve briga... eu nem me meti... só ficava dizendo: BULLYING BULLYING! E a Paula roubou...é..."
106148664052953088,147022022,n,,,,,,"i SWEAR I HAVE THE SWEETEST BOO IN THE WORLD, WHEN WE NOT BULLYING ME &lt;3"
106585060307775489,361673222,y,self-disclosure,other,n,victim,none,For those keeping score at home- cousin who just had massive heart-attack is trying to bully the doctors into letting her out one day early.
100689407677440000,181218735,n,,,,,,Rebecca Black abandona escola após sofrer bullying http://t.co/l0XJuvV
101677159214612480,322988853,n,,,,,,http://t.co/nbBZDxf Please help to stop workplace bullying
104295456787533824,233093898,n,,,,,,#gymflow as my sister just showed off her push to start kia! Def gonna have to get something new soon! Or just bully hers
107231309449015297,56272325,n,,,,,,Amo que @MelCornelius sea mi pareja de hacer Bullying y planes malignos&lt;3 Te amo meli!!!!
105058059436560384,48715116,n,,,,,,"vira pro chefe e diz que o colega tá fazendo bullying com você. ouve a resposta: 'ótimo, vou dar um aumento pra ele!'"
100994011858354176,235740563,n,,,,,,"@bellathorne143 i herd that you got bullied when you was 6 years old and i feel bad,are you ok"
101344125294620673,52085663,n,,,,,,"@rizky_yulianisa @bobyandika I can only wish the way you guys express isn't by bullying, but I really can't be picky right now. *hugs*"
109075882429259776,15231049,n,,,,,,ya'apa-ya'apa? pilih bully ato L4D? hahaha @ramadhansetiadi @ItsGeryNotJerry
100301798807576576,251754874,n,,,,,,#confiesoque sufro de bulling en mi escuela
101508504812138496,51431810,y,accusation,other,n,accuser,none,"@littlecbeadles Stop Bullying !!! I LOVE YOU SO MUCH,FOLLOW ME PLASE? #yesIcan 59"
102196835317325825,275784822,y,report,other,n,reporter,none,Rebecca Black deixa escola por bullying: 'Eles me imitavam com uma voz nasalada' ~&gt; NEM SEI POR ONDE COMEÇA A PIADA HAHHAHAHA
104172001232568320,109381827,n,,,,,,"BETTER ANTI-BULLYING AD SLOGANS: Hey, Bullies. Since it HAS to be you our us, we'll send flowers"
104199536133668864,1380901,n,,,,,,"Tipo assim, eu ainda não joguei esse The Sims, vou sofrer bullying por isso?"
105266785045069825,107882326,n,,,,,,
107852102461693953,114062784,y,report,other,n,reporter,anger,
101370759234060289,175925194,n,,,,,,
104563058826936321,119585360,n,,,,,,
106005555323211776,240649584,n,,,,,,
106878682320220160,290573230,n,,,,,,
109004189170016256,335990854,n,,,,,,
100335301150507008,126301524,y,denial,other,n,bully,none,
107585663158861824,328595277,n,,,,,,
108324197687758849,36979072,n,,,,,,
100254756332769280,108461242,n,,,,,,
101885152921260033,82011558,n,,,,,,
102224132967636992,68733084,n,,,,,,
102072519363805184,237502177,n,,,,,,
104209991644356609,97348344,n,,,,,,
104855481054539776,335111170,n,,,,,,
108765481514708992,285461140,y,accusation,other,n,accuser,none,
100976790876602368,87483616,n,,,,,,
101528917592125440,69469872,n,,,,,,
103864977844207617,69307249,n,,,,,,
104075096657891329,232599037,y,self-disclosure,other,n,victim,anger,
104826899435491328,94912172,n,,,,,,
106626680055013376,191774742,n,,,,,,
108042149437779970,181463343,y,self-disclosure,other,y,victim,none,
108570195546746880,87764203,n,,,,,,
101393229194346496,19300536,n,,,,,,
103158825590329344,86270309,n,,,,,,
102150864604643328,59330478,n,,,,,,
104028556509716480,313424053,y,self-disclosure,other,n,defender,none,
106123105822449664,151995997,n,,,,,,
106302927731294208,269095847,n,,,,,,
108467495408635904,74992098,n,,,,,,
108906189210927106,247807726,n,,,,,,"This year's bully target : the shah rukh khan wannabe, @DikFerr muahahaha http://t.co/oWwfWvy"
109045993810558976,248413859,n,,,,,,#SleepnSync: Make sure that your child is being bullied and not just bothered in a non-recurring way. #Bullying http://ow.ly/6ajMN
102456954470932481,196318040,n,,,,,,agora qualquer coisa é bullying respirar é bullying viver é bullying acordar é bullying falar a verdade é bullying
104390195901759488,53057964,n,,,,,,@LordFIMM @bentleysbird @candida6 I unfollowed AvonSpurs a few days ago as believe he's  a cyber bully & a complete cock. I stand by it.
104763342576562176,274636968,y,accusation,other,n,accuser,none,"i think teuk went to hit someone because someone was bullying donghae? then when they went back, manager-hyun… (cont) http://t.co/9OtXplM"
106037183856648192,10088582,n,,,,,,I liked a @YouTube video http://t.co/JSrbRSp Bully Cat Stuffs Cat In Box
108966853661032448,14136089,n,,,,,,@lifeofagreat1 gamestop bully
102513594234699776,228305170,n,,,,,,"De Gea needs to eat some pies, gonna get bullied on crosses and corners"
105988452310462464,103101931,n,,,,,,Join Elise in one hour at her new time.  Todays topic #Cyberbullying vs #Bullying for kids on the spectrum #Autism #ASD  #tck
106365602037374977,164811132,n,,,,,,"Não é bullying se eu bater na pessoa que não para de cantar a aula inteira, né @susana_rsb !? HAHAHAHA"
108160516131799040,224619837,y,report,other,n,reporter,none,@FcSmiliebers vc sofres bullying
109032023129210880,112493012,n,,,,,,"@ryanbyrd @arkychicky maybe ""bullying"" is a better word than ""internet rape""?"
100389920983617536,333576880,n,,,,,,@kieran_yates I know - so cute. Love the way he spinelessly dives in to being a bully to win the girl!
100968119178240001,261421709,n,,,,,,"@LuAlone_MyLife e a escola, os seus pais, eles não fazem nada? que merda, esse bullying deveria acabar de uma vez por todas"
103656353926619137,40430822,n,,,,,,Acertei o guarda-chuva na cabeça do @gabazito. Pratico bullying.
105689281854574592,96792102,y,report,other,n,reporter,none,America;the bully.
107231891593244672,291789760,n,,,,,,"My 6 yo son is being bullied. It's really hard to know what to do. I'm shocked that it happens this early, this young. #canofbullies"
108149010929434624,122826164,n,,,,,,@Waterfalls_Mh bully
108549768187351041,61734729,n,,,,,,I favorited a @YouTube video http://t.co/gwAHqri Bully Cat Stuffs Cat In Box
101373421002305536,270055397,n,,,,,,bullying em otaku feliz é o mais divertido
107258674598256640,201036826,y,report,other,n,reporter,none,[110830/TRANS] Strong Heart - Donghae Being Bullied - vampiremochi: Awwww… Teukie hyung~~~ poor nano ~~~... http://t.co/JIAjHWj
100075342470979584,98596937,n,,,,,,[EN] Conservative MP’s Family Falls Victim to Online Bullying: http://t.co/emqbRt0
100348064140754944,17531739,n,,,,,,@izasrta então era mentira KKKKKKKKKKKKKKKKKKKK to cometendo bullying com a Aline nóiz é criminoso
105790821579751427,165142562,n,,,,,,"Sok suci, playing God, sok jago policy development, sok tajir, Bully!! #hukumtwit"
105946088254619648,20151008,y,accusation,other,n,accuser,anger,@Nilton_Prensa @natygondiaz a mierd!!!!! jajajaja // jajajaja nos hacemos bullying mutuamente
108069148759818240,101243394,n,,,,,,http://t.co/XzO00sm Stand Up Day (stand up to bullying November 14)
108322149097410560,325103066,n,,,,,,"#DeadpoolSays bullying is wrong, wait, scratch that... Bullying Is FUN!"
108658709189754881,110786708,n,,,,,,@cinthiacds aposto que tropeçou no seu calcanhar(caida clássica)e que diabos um banco faz no meio do banheiro?!Isso é Bullying D: D:
102157160586289153,140507350,n,,,,,,"@SaidCM jaja, yo solamente soy testigo del bulling."
105992776746942464,12834972,n,,,,,,@TomTheScottish They have too many weak/small players. If they sign a big bully of a striker Drogba/Carroll style then they have a chance.
106800732031815680,302116139,n,,,,,,@thatcountenance @Lweiting she bully me :(
107988354901090304,89540428,n,,,,,,"É verdade isso??  ""@bentoherculano: Criança de 13 anos acaba de suicidar-se no Marista em Natal,vítima de bullying..."
106167344593776640,182229724,n,,,,,,rebecca black has been bullied out of school but that's what you get when you make crap songs
108923568896753664,161030937,n,,,,,,"@carolcosta58  zoando da minha tristeza, aaaaaaaaaaaaa, para de pratica bullying!!!"
108958421558112256,20518312,n,,,,,,cesser l'intimidation - stop bullying.
103053755540447232,22076089,y,report,other,n,reporter,none,Aff Amanha Tem Aula Com O Boneco Do Bully De Play  :S
106027940524998656,201245718,n,,,,,,ê caramba n vao deixar a Jessie J cantar mesmo ? Af bullying
102570861785137152,236652028,n,,,,,,Children with severe #foodallergy bullied - story in the Mail - http://t.co/q3kijVj
105047677435248640,338866546,n,,,,,,aposto que vou sofrer bullying depois do meu próximo tweet
102433486769627136,53593788,y,self-disclosure,other,n,victim,sadness,@Mkaygreene is a bully
104757138236256256,90347854,n,,,,,,@Rannnny_x bully!
108734297799794688,160762953,n,,,,,,@jessiejofficial Whos Laughing Now Is A Great Song The Words Describe Me I Always Get Bullied @ Skool Just Like u Was Follow And Tweet Me? 1
108974546152996864,306973756,n,,,,,,@JusLick_Kay Quit Bullying Them
100124868628066304,207145027,y,report,cyberbullying,n,reporter,none,"Ka @WendaChiBi say ""tak perduli ku di bully masih ada twibi di sini"" hihihi.. (&gt;ˆ▽ˆ)&gt;"
101350546191028225,217512290,n,,,,,,""" Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself."""
101440356591210496,85625386,n,,,,,,É pedir pra sofrer bullying
101658757964103680,207773364,y,self-disclosure,other,n,defender,none,En mis tiempos no existía el 'bullying'. Se llamaba carrilla y todos la aguantaban!
102994946755280896,133382210,n,,,,,,Kids' bullying is an ADULT problem.  Learn more about the role adults play in Bullying Epidemic: Not Just Child's Play. Coming Sept 2011.
103257266811187200,327761248,y,self-disclosure,other,n,victim,none,"Also, wishing Nick would die from diabetes? THAT'S LOW. And then you claim to be against bullying.. Yeah right!"
104181309462683649,89790939,y,self-disclosure,other,n,victim,none,@marcellaandion bullying! vdd! =P
104767952636755968,102100345,n,,,,,,"Photoset: › “…he’s sensitive, people bully him, too, and he feels lonely and hasn’t got anybody to talk to,... http://tumblr.com/xxv3y1zfg7"
105477553447383040,138230701,n,,,,,,"@InvisibLeGuNz @cimphunkkzz wakakaka, ini org si emg mau di bully deh. Kesian bener (⌣́_⌣̀)\('́⌣'̀ )"
107986735245434880,158566267,n,,,,,,A common -MYTH- about #Bullying in schools-  ' It's just kids being kids' #education #moms #parents #dads
102821471642062849,223852913,y,accusation,other,y,accuser,none,"In the saga of the bullies: no, I won't allow your kid to bully mine in the grocery store while you watch. #mamabear"
108341755010756609,258096726,n,,,,,,"Le dan color con los tuiteros que almorzaron con Piñera.Tanto bullying,si hubieran sido ustedes los invitados habrían ido igual. #Esonomás."
108765071395655680,39955613,n,,,,,,"@vivjones10 haha! They're actually pictures from an anti-bullying campaign, blessem"
100279498263638016,22147602,n,,,,,,@bullysteria @HellsofHidden  Me encantó el video! Me encantó! Aaaaah! Ya les dije que me encantó!?!?! Una vez mas gracias Bully!
101490713405038592,279702272,n,,,,,,[CL7] Who bully jjongie?!!! *angry* http://t.co/tZTFCbX
104240118818291712,283175818,n,,,,,,Documentary about bullying of gays showing at Newbury Park community forum Aug 19th http://bit.ly/qODBSo
104678160460820480,81249556,n,,,,,,"@aliendeallstar @gugou complô, agora? bullying?"
106719245764788225,280897988,n,,,,,,@x_alex_taylor_x thats cool. what do you think of Immortal- they're a bunch of bully's arent they?
107488254307205120,94912172,n,,,,,,"Then I thought he bullied me because he loved me, but he prooved I was wrong , one more time."
107514419956817920,258427447,y,self-disclosure,other,n,defender,none,@NadiraGandhi rip wat r u threatenin me on tha web u bully
108391635246776322,34280840,n,,,,,,"U all should whatch this video about bullying, and help take apart in ending it http://t.co/XVsagvI @bellathorne143"
108738169758949376,353051404,y,report,other,n,reporter,none,"@YungPaidBlessed , He Used To Bully Yall In The Bathroom , Ll"
103004836852801536,267609506,y,report,other,n,reporter,anger,
103985846604144640,169334267,n,,,,,,
104310338081660928,166190767,n,,,,,,
105239503526043649,199288197,y,self-disclosure,other,n,victim,relief,
106551644153593856,289438678,n,,,,,,
108540719953739776,17234598,n,,,,,,
108565124180226048,193300181,n,,,,,,
100328582508855296,160143415,n,,,,,,
103937128827858946,320449627,n,,,,,,
106030123865739265,284534124,n,,,,,,
108921730805923840,48874545,n,,,,,,
101776234794590208,220507804,y,self-disclosure,cyberbullying,n,bully,none,
102650150060703744,230070155,y,accusation,other,n,accuser,none,
102929080126685185,213775109,n,,,,,,
103294560259682304,225467762,n,,,,,,
105846455754964993,279594353,n,,,,,,
103736504534302720,354153517,y,self-disclosure,other,n,defender,none,
104764231760621568,117775282,n,,,,,,
108493220312383488,180813638,n,,,,,,
103526497096187904,30806764,n,,,,,,
104948590958493696,46999928,n,,,,,,
106155330051903489,93410354,n,,,,,,
108327402979065856,136084672,n,,,,,,
103429674721476608,80415660,n,,,,,,
106472601286742016,215406415,n,,,,,,
104719599265783809,7233652,y,self-disclosure,other,n,defender,none,
105408120385323008,299951409,n,,,,,,
105740633897050112,69114202,n,,,,,,
106144907848196096,67324537,n,,,,,,
107987147990106112,326990654,n,,,,,,
108121894066204674,358474782,n,,,,,,
108686132635648001,59239389,n,,,,,,
106602848489451520,233918001,n,,,,,,
103926466609295361,182187424,n,,,,,,Lls im out she aint rockin thats wat im talkin bout bully
106891532019306496,304056538,n,,,,,,"when I see someone being bullied I stick up for them anyway, let alone ast, I would literally beat the shit outta that mother fucker."
108653637261209601,61233101,y,report,other,n,reporter,none,"@felipeastorga mi primo se llama igual que él xD nunca lo había pensado,desde hoy le haré bullying! (?)"
101749937431261184,353194345,n,,,,,,@tearsellingboy im sorry will u stop bullying me now im having a heart attack!
106119712626327552,146656254,n,,,,,,@LysaTerKeurst Whoa! this is the deepest truth of all - DON'T BE YOUR OWN BULLY! Truth will silence toxic thoughts & words!
108939313525440512,301137211,n,,,,,,Filme sobre bullying produzido por alunos da Etec de Guarujá estreou hoje http://t.co/MnJfEfU
100140283836104704,73545301,n,,,,,,"ée vo sar aqi, deixar o bully baixando.."
100648745603043329,156734144,n,,,,,,"One day, our OCs get bullied at school. What's their reaction? @sasunarukawaii @uchimouchi @Algarich @HarunoMizuhime @michiryan"
101335166525513728,138503909,n,,,,,,"@DemiSelenaArmy @TheDLNation @mrDdlovato I was never really bullied by other kids, but I had to deal with simi… (cont) http://t.co/ump5IpO"
101794103318159360,181385179,n,,,,,,"@vickafarahdiba Tul bgt,mb..Say NO to Bullying"
102067466276044800,275037031,n,,,,,,"@pete_zar that wasn't bullies that was a random attack :L and lol, you, bully me? don't even pretend you do :L"
106025454883971072,57778752,n,,,,,,She scratches and claws me when clearly there's a guy next to her that's easy to bully -__-
107927921334812672,182710873,y,accusation,other,n,accuser,anger,@KabThaDon bro i listen to numbers every morning real bully issh
108513703422468096,149664572,n,,,,,,@RodrigoToller_ @20matarcom1tiro se ele colocou minha ft no twitpic me autorizou a cometer bullying Lei nº 930138978947324
108636558881599489,297529823,n,,,,,,i wish the whole bulling-everything-that-breathes fad would go out tho #realtalk
107988790777356290,66215035,y,self-disclosure,other,y,victim,none,@PaytonRaeMusic i love your stomp out bullying video! very inspirational(: i think i will enter...♥ http://t.co/C6NqqwC)
108417769673981952,348971776,n,,,,,,played Bully: Scholarship Edition (360) in the last 24 hours. http://t.co/idp64dt
101483313612587008,94043537,y,accusation,other,n,accuser,anger,di bully ini.sama ka syalfa...
102190759578574848,117365744,n,,,,,,"vo me meter mais nessa brincadeira de criança não, agora isso sim é BULLYING, ESTOU INDIGNADA com esse povo da terceira e segunda cia"
102219441806376961,172776701,n,,,,,,@ChronIcVamPz I actually got bullied myself as well and tbh I don't really wanna talk about it &gt;.&lt;
103969264553299969,279188342,n,,,,,,mamá; callate vo' mierda   yo; chucha :|      ajdhsajfhsaf mi mamá me hace bulling kajdks XDDD &lt;3
104192446883303424,59948542,n,,,,,,@DantasRodolfo  to sofrendo um bullying agora que é o do meu amigo não me ligar mais e nem me chamar pra canto nenhum sabe? :/
101384670347931648,301155538,y,self-disclosure,other,n,victim,none,I guess when their backs are up against the wall J&J show their true colors. Jeff=Bully Jordan=Spoiled Brat #CBSBigBrother #sad
105689722332004352,195446536,n,,,,,,"@NathyHartzle, cara isso é bulling, e eu nem estou desdentada, sua vadia vendida u.u"
108125147986276352,18627452,n,,,,,,This sat Club Gravity! 'Bedroom Bully' Music by Hot 97 & Power 105.1 Everyone free before 12  http://t.co/vw1RueY ;..
108665411163267073,187546793,n,,,,,,"What is this I hear about cyber-bullying. #GrammarNAZIs, tell your leader Alphabet Hitler that his days of #evildoing are numbered!!!"
100646952940740608,66180482,n,,,,,,"@SofwaTunissa oh kamu juga pernah sof di ""bully"" gara2 #matematika"
101005489915166722,226218665,n,,,,,,"@HilzFuld i disagree again- naked women is not a form of protest against bullying, its cheap."
107097159303827456,359830390,n,,,,,,"Tão fazendo bullying com a Katy E com o Lil Wayne? Amigo, quer confusão comigo é só pedir! hehe"
101008486179160064,153284292,n,,,,,,"@lucciiernaga7 si, jajajajajajja plan macabro jajajajajja y le hariamos bullying @MonicaLuck"
101678557083877376,38703653,y,accusation,other,y,accuser,none,"Dou um empurrão em uma pessoa, isso se chama : - › EU : empurrão. › › SOCIEDADE : bullying ! http://t.co/q3SF2JZ"
100659773472653312,53960019,n,,,,,,"The 64 was the school bully with its crude graceless blocky graphics, the Speccy the beautiful underdog with its charming colour clash."
104269554640883712,233240424,n,,,,,,The Article Bully Domination System – Grab Your Copy TODAY! http://t.co/AbvR1OE
104319502099021824,283265890,n,,,,,,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/LVpwAio
105355262549958656,129080556,n,,,,,,“@mejorenfa/milia: para reportar sobre casos de bullying al 55335533 o sms5533 http://t.co/q9aJL48”// @dannapaola ya llamaste?!
105668341208854528,244817702,n,,,,,,@Richdolarz keep comin at @AYEVERB  so he can get some views i hate a nigga dat try to get on dat bully shit to make they self look good
103298006077538305,141075053,y,self-disclosure,other,n,victim,none,@JeffersonObama The Bully on the Pulpit.  #ChrisChristiePresidentialTourBusName #p2
106238594515079169,37868690,n,,,,,,"Todo mundo sofreu bullying, tem homem grávido, teve gente que foi abusada sexualmente, gente que ressuscitou... http://t.co/nR86lZS"
107184248636702721,53460469,n,,,,,,@dannysuarez20 awwww bully... don't let that bring you down!:/
108415123839913984,24828721,y,self-disclosure,other,n,victim,sadness,@TacyBarbosa1  TO SOFRENDO BULLYING KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
108494744417611776,56054309,n,,,,,,@AHankeyPankey name calling isnt nice and it's bullying too #stupid lol
105688123194867713,134520892,n,,,,,,"o novo clipe da Jessie J, Who's Laughing Now, será o #4 single do Who You Are, como música é sobre Bulling, o clip http://twitpic.com/633ekt"
106775651264110592,321176133,n,,,,,,"@lari_brabo @dann_mainzer acho que essa padronização de celulares é bullying contra o meu, já bastava o da escola agora até de celular --'"
107759010534531072,335263710,n,,,,,,Estamos preparando nossa aula de Bullying com a super orientação da #BarbaraNogueira #stopbullying
101301835607977985,118959423,n,,,,,,"#Denunciar_é_combater!Lute contra bullying,violência,assédio e abuso sexual Infanto-juvenil. #quebreosilêncio"
102347082605674496,265481699,y,report,other,n,reporter,sadness,Eso es bullying a Danna Paola jeje
104182282394402816,104360733,n,,,,,,"@nolan_aurelia he's a dick to the bully lmaoo that's great, there's on when the dude gets ko'd"
107762666738683904,106792949,y,denial,other,n,victim,none,"@pradoilha se vir pro cfv,vai voltar a sofrer bullying."
106705407594070016,41126331,n,,,,,,Today was waaay better but got bullied by my lockers but no big deal....
108019090748215296,35069027,n,,,,,,Just Saw A Video On YouTube About A Little Boy Bullying A Big Ass Boy . Personally I Think EveryBody Story Is BS . I Wanna No What Happened
108607265195573248,239331170,y,report,other,n,reporter,none,#WorstThingInTheWorld bullying.
102531310492450816,91012437,n,,,,,,@alecintra_ Vai dormir pensa em todo Bullying que vc cometei. kkkkkkkkkkkkkkkkkkkkkkkkk
103301172403769344,72675900,n,,,,,,"Me siento mal trolleando a la gente, me recuerda cuando me hacían bullying en la escuela y lloraba."
105174196212084736,41054131,n,,,,,,"Cyber bullying and sexting a growing trend among teens: Students across the county are back in school this week,... http://t.co/L5u4q6W"
105450066923364352,104721830,n,,,,,,"""Seu merda"" - ""Isso é bullying"" - ""Só se for com a merda"". http://t.co/D01pV9o"
103881668535914497,20109343,n,,,,,,'Friday' Singer Rebecca Black to Be Homeschooled After Verbal Bullying - FoxNews.com: http://goo.gl/k0QGS #rebeccablack #homeschool
104563970593128449,44717685,n,,,,,,Frio é bullying contra os solteiros. http://t.co/HsFux9R
108404942355697664,320924627,n,,,,,,
101379514747199488,15501305,n,,,,,,
104023156091662337,231355317,y,self-disclosure,other,n,victim,none,
106835040582909952,67419964,n,,,,,,
107973526174179328,31554641,y,report,other,n,reporter,none,
103635397262835715,152863569,n,,,,,,
105107028879482880,137407641,n,,,,,,
105850007181213696,109805640,n,,,,,,
106751303014813696,29421304,n,,,,,,
102529264439660544,134210251,n,,,,,,
103651943448186880,121561685,n,,,,,,
102743711582142464,148416317,n,,,,,,
102848111680045057,305564466,y,self-disclosure,other,n,defender,none,
104993775570526208,243757244,n,,,,,,
105493987443474432,332468881,n,,,,,,
105781984458055680,149347575,n,,,,,,
107083900584603648,124852884,n,,,,,,
101896705531838464,43397255,n,,,,,,
102657488251392001,24738494,n,,,,,,
104000335592439808,98761350,n,,,,,,
105692776271843329,133732887,n,,,,,,
105783422085103616,55269438,n,,,,,,
106874761732292608,242458169,y,accusation,other,n,accuser,none,
100669144365674497,243858052,y,accusation,other,y,accuser,none,
